order_id,customer_email,order_date,item_price,quantity,shipping_country,status
ORD-01135,nora.murphy@outlook.com,2025-11-18,55.03,5,FR,delivered
ORD-01000,liam.garcia@yahoo.com,2026-01-27,30.62,6,CA,pending
ORD-01003,noah.andersson@yahoo.com,2026-01-10,25.88,3,CA,pending
ORD-01123,lucas.andersson@gmail.com,2025-12-21,67.13,6,AU,cancelled
ORD-01116,maria.park@outlook.com,2025-06-03,26.09,5,US,cancelled
ORD-01122,yuki.hassan@proton.me,2025-10-11,80.3,2,DE,cancelled
ORD-01001,anika.andersson@gmail.com,2026-05-17,21.56,2,IN,pending
ORD-01059,tariq.silva@proton.me,2025-06-21,29.96,4,GB,pending
ORD-01041,yuki.lopez@gmail.com,2026-03-25,33.51,1,IN,shipped
ORD-01069,aiko.andersson@proton.me,2025-12-14,52.98,4,US,shipped
ORD-01051,priya.dubois@yahoo.com,2026-01-10,75.5,3,JP,cancelled
ORD-01055,omar.andersson@gmail.com,2025-06-26,79.45,5,JP,pending
ORD-01072,nora.mueller@yahoo.com,2025-10-21,48.99,4,JP,cancelled
ORD-01136,maria.dubois@yahoo.com,2026-05-28,54.62,6,US,cancelled
ORD-01035,liam.brown@outlook.com,2025-08-09,56.62,5,CA,cancelled
ORD-01087,nora.kim@outlook.com,2025-09-25,29.85,3,JP,delivered
ORD-02200,felix.lopez@yahoo.com,2027-01-15,55.45,2,GB,cancelled
ORD-01127,yuki.dubois@yahoo.com,2025-07-16,65.31,4,IN,pending
ORD-01025,yuki.rossi@icloud.com,2025-08-10,48.09,4,AU,shipped
ORD-01030,nora.cohen@outlook.com,2025-11-08,78.17,2,AU,pending
ORD-01156,felix.smith@icloud.com,2025-12-29,47.06,1,US,cancelled
ORD-01105,sofia.tanaka@gmail.com,2026-03-09,70.48,5,MX,delivered
ORD-01027,james.dubois@yahoo.com,2026-04-07,32.41,2,IN,cancelled
ORD-01029,james.hassan@gmail.com,2026-04-15,79.85,2,GB,cancelled
